# x_m,y_m,w_tr_right_m,w_tr_left_m
0.3300,-5.8100,0.9220,0.9220
0.3300,-5.8600,0.9124,0.9124
0.3300,-5.9100,0.9055,0.9055
0.3300,-5.9600,0.9014,0.9014
0.3300,-6.0100,0.9000,0.9000
0.3300,-6.0600,0.9000,0.9000
0.2800,-6.1100,0.9500,0.9500
0.2800,-6.1600,0.9500,0.9500
0.2800,-6.2100,0.9500,0.9500
0.2800,-6.2600,0.9500,0.9500
0.2300,-6.3100,1.0000,1.0000
0.2300,-6.3600,1.0000,1.0000
0.2300,-6.4100,1.0000,1.0000
0.1800,-6.4600,1.0500,1.0500
0.1800,-6.5100,1.0440,1.0440
0.1300,-6.5600,1.0794,1.0794
0.1300,-6.6100,1.0689,1.0689
0.0800,-6.6600,1.1102,1.1102
0.0300,-6.7100,1.1543,1.1543
0.0300,-6.7600,1.1511,1.1511
-0.0200,-6.8100,1.2000,1.2000
-0.0200,-6.8600,1.1853,1.1853
-0.0700,-6.9100,1.2083,1.2083
-0.1200,-6.9600,1.2298,1.2298
-0.1700,-7.0100,1.2379,1.2379
-0.1700,-7.0600,1.2298,1.2298
-0.2200,-7.1100,1.2021,1.2021
-0.2700,-7.1100,1.2166,1.2166
-0.3200,-7.1600,1.1769,1.1769
-0.3700,-7.2100,1.1402,1.1402
-0.4200,-7.2100,1.1543,1.1543
-0.4700,-7.2600,1.1236,1.1236
-0.5200,-7.2600,1.1402,1.1402
-0.5700,-7.3100,1.1068,1.1068
-0.6200,-7.3100,1.1180,1.1180
-0.6700,-7.3100,1.1281,1.1281
-0.7200,-7.3600,1.0920,1.0920
-0.7700,-7.3600,1.1011,1.1011
-0.8200,-7.3600,1.1045,1.1045
-0.8700,-7.3600,1.1102,1.1102
-0.9200,-7.3600,1.1180,1.1180
-0.9700,-7.3600,1.0966,1.0966
-1.0200,-7.3600,1.0770,1.0770
-1.0700,-7.3600,1.0595,1.0595
-1.1200,-7.3100,0.9962,0.9962
-1.1700,-7.3100,0.9823,0.9823
-1.2200,-7.3100,0.9657,0.9657
-1.2700,-7.3100,0.9487,0.9487
-1.3200,-7.3100,0.9341,0.9341
-1.3700,-7.2600,0.8732,0.8732
-1.4200,-7.2600,0.8631,0.8631
-1.4700,-7.2600,0.8559,0.8559
-1.5200,-7.2600,0.8515,0.8515
-1.5700,-7.2100,0.8000,0.8000
-1.6200,-7.2100,0.8000,0.8000
-1.6700,-7.2100,0.8000,0.8000
-1.7200,-7.1600,0.7500,0.7500
-1.7700,-7.1600,0.7500,0.7500
-1.8200,-7.1600,0.7500,0.7500
-1.8700,-7.1100,0.7018,0.7018
-1.9200,-7.1100,0.7071,0.7071
-1.9700,-7.1100,0.7159,0.7159
-2.0200,-7.1100,0.7280,0.7280
-2.0700,-7.0600,0.6964,0.6964
-2.1200,-7.0600,0.7159,0.7159
-2.1700,-7.0600,0.7382,0.7382
-2.2200,-7.0600,0.7211,0.7211
-2.2700,-7.0100,0.7382,0.7382
-2.3200,-7.0100,0.7159,0.7159
-2.3700,-6.9600,0.7382,0.7382
-2.4200,-6.9100,0.7382,0.7382
-2.4700,-6.9100,0.7211,0.7211
-2.5200,-6.8600,0.7382,0.7382
-2.5700,-6.8100,0.7433,0.7433
